epoch,train_loss,train_acc,val_loss,val_acc,lr,seconds
1,3.100116871849879,0.18901175945696166,2.523188144737429,0.32592592592592595,0.0007475861294670111,37.27253459999338
2,2.202841532690438,0.39526434876828453,1.8757719721982915,0.47803320561941254,0.001793554379658771,35.38955690001603
3,1.6884529620846849,0.5732496255457472,1.3871742570385013,0.6761174968071519,0.0027443330755401495,35.61976530001266
4,1.2442756548085592,0.7464865037126741,1.0391921676133937,0.8236270753512133,0.002996230106422319,36.17212169995764
5,0.9479883763001379,0.8670448389050002,0.8281414297196448,0.8934865900383142,0.0029090466891766504,35.5335704999743
6,0.814092625057064,0.9158354313394308,1.0001166323896873,0.8344827586206897,0.002712811328678306,36.65291549998801
7,0.7345234055474883,0.9432104273558749,0.6660084190344293,0.9551724137931035,0.002422727675052563,76.20071790000657
8,0.681707145234793,0.9575193600815832,0.6304743894976522,0.9662835249042145,0.0020612704258543765,78.93583349999972
9,0.6458380147973835,0.968641448102234,0.5655327339586474,0.9798212005108556,0.0016564440627332229,79.5476345999632
10,0.6174079171405961,0.9761305331591191,0.5661309553441112,0.9826309067688378,0.0012396131591826457,8465.107744299981
