epoch,train_loss,train_acc,val_loss,val_acc,lr,seconds
1,3.257657975607102,0.1341661620829217,2.911748876425498,0.19182630906768838,0.0007475861294670111,82.03442570002517
2,2.3458052671541845,0.3599859778832977,2.2633733202518935,0.337037037037037,0.001793554379658771,83.91959659999702
3,1.7478049410024312,0.5624780904426527,1.7935142983574215,0.5554278416347382,0.0027443330755401495,84.83448660001159
4,1.2488491844730505,0.7578316708626789,1.1769386171228888,0.776500638569604,0.002996230106422319,84.65454180003144
5,0.953975000357612,0.8728448962682048,1.083102750443255,0.8212005108556832,0.0029090466891766504,84.35388589999638
6,0.8236755855646708,0.9166958794097964,0.7756133462886396,0.9277139208173691,0.002712811328678306,83.29516640002839
7,0.7409776554987062,0.9447719812613531,0.770965530436919,0.9194125159642401,0.002422727675052563,81.38845829997445
8,0.6848812202957636,0.9611204945982982,0.6958754948881546,0.9484035759897829,0.0020612704258543765,78.20283070002915
9,0.6497386677162822,0.9698205806431053,0.625091133492203,0.9694763729246488,0.0016564440627332229,37.48569739999948
10,0.6269804579911745,0.9755887695592593,0.61025572579787,0.973690932311622,0.0012396131591826457,81.55917800002499
11,0.6039511553681738,0.9813569584754135,0.5828687299333161,0.9772669220945083,0.0008430723597707404,83.16305309999734
12,0.5898012017108859,0.9830141177220434,0.5784806360991369,0.9786717752234994,0.0004975443006184673,84.69976009998936
13,0.5788430587246023,0.9863603046623538,0.5682926552810279,0.9798212005108556,0.00022979932376039337,84.7352702000062
14,0.5726420158842842,0.9883361483794895,0.5724275433088476,0.9786717752234994,6.0581401845550076e-05,83.4538144999533
15,0.5701187060996138,0.9885592275088435,0.5691911128517312,0.9784163473818647,3.0009654975837436e-06,83.50730120000662
