epoch,train_loss,train_acc,val_loss,val_acc,lr,seconds
1,3.291439258663637,0.12572102361451926,3.044931612343624,0.14329501915708812,0.0007475861294670111,83.07259200001135
2,2.5456497408379604,0.2968545842761082,2.361672725896726,0.3075351213282248,0.001793554379658771,84.78521719999844
3,2.0115148037735677,0.461773797762835,2.403212922682098,0.36181353767560664,0.0027443330755401495,84.03074189997278
4,1.5331635089938578,0.6465151853150196,1.5935979457041618,0.6215836526181354,0.002996230106422319,71.30906010000035
5,1.19515677482206,0.7750406322699895,1.195135859054624,0.7715197956577267,0.0029090466891766504,36.98656549997395
6,0.9876752789296575,0.854456802320023,0.992758280335715,0.8358876117496807,0.002712811328678306,36.98534050001763
7,0.8590082476686811,0.9034067369897065,0.8528686687407365,0.9006385696040868,0.002422727675052563,39.31663650000701
8,0.785352607511753,0.9276267567481437,0.7946697521331514,0.9074074074074074,0.0020612704258543765,36.295817199978046
9,0.7251500393719847,0.9474489308136015,0.7268761533278006,0.9378033205619413,0.0016564440627332229,35.803291099960916
10,0.6924943693482954,0.9579336498932407,0.7240969177254619,0.9399744572158365,0.0012396131591826457,34.731347600056324
11,0.664852157511049,0.9651040504796201,0.6614833609963437,0.9540229885057471,0.0008430723597707404,34.43337020004401
12,0.6384880928412128,0.9717326874661397,0.6368293454820626,0.9601532567049809,0.0004975443006184673,36.171842899988405
13,0.6233386505747651,0.9762580069473215,0.6336193878988653,0.959514687100894,0.00022979932376039337,50.789625599980354
14,0.6147196183009686,0.9784569297938112,0.6280781240907818,0.9618135376756066,6.0581401845550076e-05,77.04763419996016
15,0.6139731002114556,0.9793173778641767,0.6264291343408831,0.9625798212005109,3.0009654975837436e-06,85.77242910000496
