epoch,train_loss,train_acc,val_loss,val_acc,lr,seconds
1,3.45097511824217,0.0896459415532681,3.233352856069689,0.09974457215836526,0.0007475861294670111,17.388728599995375
2,2.7362307829923584,0.24079798591414642,2.410793675499401,0.29118773946360155,0.001793554379658771,18.814639599993825
3,2.2036626213135366,0.38493897192389814,2.052263189214704,0.42886334610472543,0.0027443330755401495,19.43742969998857
4,1.8367622591667427,0.5219732942413716,1.788544411403466,0.5109833971902937,0.002996230106422319,19.008276999986265
5,1.5336607505093,0.6456228687976034,1.3704666567335946,0.7159642401021712,0.0029090466891766504,19.396578099986073
6,1.3519429593671444,0.7191433761432805,1.2131371484405693,0.7802043422733078,0.002712811328678306,19.19440239999676
7,1.2144460430784714,0.7793747410688677,1.06608448777619,0.8454661558109834,0.002422727675052563,19.208804099995177
8,1.1176853465845504,0.8172981930590523,0.9880814182804005,0.8615581098339719,0.0020612704258543765,20.628111900005024
9,1.0484531556311232,0.8450874788871539,0.8974817936752338,0.8962962962962963,0.0016564440627332229,20.057666999986395
10,1.0018387320787858,0.8640492048822461,0.9043035367135039,0.8877394636015326,0.0012396131591826457,18.532398300012574
11,0.9637674849744303,0.8764778992319704,0.8299399321106659,0.9144316730523627,0.0008430723597707404,18.309986100008246
12,0.9394508624700642,0.8873769081232672,0.8113697140609625,0.9247765006385696,0.0004975443006184673,22.250463999982458
13,0.9198205256717391,0.8948022562860511,0.7999096321876935,0.9247765006385696,0.00022979932376039337,18.440291000006255
14,0.9123119592263931,0.897670416520603,0.8038368498228519,0.9247765006385696,6.0581401845550076e-05,17.021191100007854
15,0.9107885372950602,0.8951209407565569,0.8001654635291752,0.9254150702426565,3.0009654975837436e-06,19.929651300015394
